UniProt ID;Gene;Protein name
NT-proBNP;NT-proBNP;N-terminal prohormone of brain natriuretic peptide
P09668;CTSH;Pro-cathepsin H
P46379;BAG6;Large proline-rich protein BAG6
O14793;MSTN;Growth/differentiation factor 8
Q9BWV1;BOC;Brother of CDO
P08319;ADH4;All-trans-retinol dehydrogenase [NAD(+)] ADH4
P09496;CLTA;Clathrin light chain A
P34913;EPHX2;Bifunctional epoxide hydrolase 2
Q96A56;TP53INP1;Tumor protein p53-inducible nuclear protein 1
Q9Y4X3;CCL27;C-C motif chemokine 27
P00568;AK1;Adenylate kinase isoenzyme 1
P09525;ANXA4;Annexin A4
Q15067;ACOX1;Peroxisomal acyl-coenzyme A oxidase 1
Q05315;CLC;Galectin-10
Q6PJW8;CNST;Consortin
P48357;LEPR;Leptin receptor
P01222;TSHB;Thyrotropin subunit beta
P31949;S100A11;Protein S100-A11
Q9H7M9;VSIR;V-type immunoglobulin domain-containing suppressor of T-cell activation
O14917;PCDH17;Protocadherin-17
P16234;PDGFRA;Platelet-derived growth factor receptor alpha
Q12864;CDH17;Cadherin-17
Q9Y5X1;SNX9;Sorting nexin-9
Q16620;NTRK2;BDNF/NT-3 growth factors receptor
Q03154;ACY1;Aminoacylase-1
O60496;DOK2;Docking protein 2
P21549;AGXT;Alanine--glyoxylate aminotransferase
Q13043;STK4;Serine/threonine-protein kinase 4
P21980;TGM2;Protein-glutamine gamma-glutamyltransferase 2
Q9UHL4;DPP7;Dipeptidyl peptidase 2
O60664;PLIN3;Perilipin-3
O94903;PLPBP;Pyridoxal phosphate homeostasis protein
Q9UMF0;ICAM5;Intercellular adhesion molecule 5
P10644;PRKAR1A;cAMP-dependent protein kinase type I-alpha regulatory subunit
P40189;IL6ST;Interleukin-6 receptor subunit beta
Q9H773;DCTPP1;dCTP pyrophosphatase 1
Q6GTS8;PM20D1;N-fatty-acyl-amino acid synthase/hydrolase PM20D1
Q53H82;LACTB2;Endoribonuclease LACTB2
Q13158;FADD;FAS-associated death domain protein
Q99674;CGREF1;Cell growth regulator with EF hand domain protein 1
P10145;CXCL8;Interleukin-8
P09382;LGALS1;Galectin-1
Q8WX77;IGFBPL1;Insulin-like growth factor-binding protein-like 1
P41218;MNDA;Myeloid cell nuclear differentiation antigen
P55285;CDH6;Cadherin-6
Q9UHD0;IL19;Interleukin-19
P16112;ACAN;Aggrecan core protein
Q9ULL4;PLXNB3;Plexin-B3
Q06418;TYRO3;Tyrosine-protein kinase receptor TYRO3
Q13541;EIF4EBP1;Eukaryotic translation initiation factor 4E-binding protein 1
O75340;PDCD6;Programmed cell death protein 6
P51693;APLP1;Amyloid beta precursor like protein 1
Q9NY25;CLEC5A;C-type lectin domain family 5 member A
P08263;GSTA1;Glutathione S-transferase A1
Q969P0;IGSF8;Immunoglobulin superfamily member 8
Q16820;MEP1B;Meprin A subunit beta
P18827;SDC1;Syndecan-1
P19022;CDH2;Cadherin-2
Q8NI22;MCFD2;Multiple coagulation factor deficiency protein 2
Q96LA6;FCRL1;Fc receptor-like protein 1
Q14956;GPNMB;Transmembrane glycoprotein NMB
P09417;QDPR;Dihydropteridine reductase
Q9UBU3;GHRL;Appetite-regulating hormone
P41236;PPP1R2;Protein phosphatase inhibitor 2
Q9Y5K6;CD2AP;CD2-associated protein
O95544;NADK;NAD kinase
P27352;CBLIF;Cobalamin binding intrinsic factor
Q9GZM7;TINAGL1;Tubulointerstitial nephritis antigen-like
Q8WVQ1;CANT1;Soluble calcium-activated nucleotidase 1
Q8WTU2;SSC4D;Scavenger receptor cysteine-rich domain-containing group B protein
P78380;OLR1;Oxidized low-density lipoprotein receptor 1
Q9NR28;DIABLO;Diablo IAP-binding mitochondrial protein
Q86VZ4;LRP11;Low-density lipoprotein receptor-related protein 11
Q13275;SEMA3F;Semaphorin-3F
P41159;LEP;Leptin
P06858;LPL;Lipoprotein lipase
Q8IZP9;ADGRG2;Adhesion G-protein coupled receptor G2
Q9Y286;SIGLEC7;Sialic acid-binding Ig-like lectin 7
O95502;NPTXR;Neuronal pentraxin receptor
O75791;GRAP2;GRB2-related adapter protein 2
Q9HBB8;CDHR5;Cadherin-related family member 5
P52888;THOP1;Thimet oligopeptidase
P35754;GLRX;Glutaredoxin-1
P21583;KITLG;Kit ligand
Q9UKJ0;PILRB;Paired immunoglobulin-like type 2 receptor beta
Q15846;CLUL1;Clusterin-like protein 1
P23526;AHCY;Adenosylhomocysteinase
P12104;FABP2;Fatty acid-binding protein, intestinal
P00797;REN;Renin
Q9UK05;GDF2;Growth/differentiation factor 2
P12724;RNASE3;Eosinophil cationic protein
Q9BQB4;SOST;Sclerostin
Q9NQX5;NPDC1;Neural proliferation differentiation and control protein 1
Q07108;CD69;Early activation antigen CD69
P42830;CXCL5;C-X-C motif chemokine 5
P02462;COL4A1;Collagen alpha-1(IV) chain
A6NI73;LILRA5;Leukocyte immunoglobulin-like receptor subfamily A member 5
Q9UEW3;MARCO;Macrophage receptor MARCO
O95841;ANGPTL1;Angiopoietin-related protein 1
Q9BQR3;PRSS27;Serine protease 27
Q99523;SORT1;Sortilin
P35247;SFTPD;Pulmonary surfactant-associated protein D
P20711;DDC;Aromatic-L-amino-acid decarboxylase
P31431;SDC4;Syndecan-4
P09601;HMOX1;Heme oxygenase 1
O00161;SNAP23;Synaptosomal-associated protein 23
Q8IW75;SERPINA12;Serpin A12
P01241;GH1;Somatotropin
Q9BUD6;SPON2;Spondin-2
Q92692;NECTIN2;Nectin-2
Q6WN34;CHRDL2;Chordin-like protein 2
Q01973;ROR1;Inactive tyrosine-protein kinase transmembrane receptor ROR1
Q8N1Q1;CA13;Carbonic anhydrase 13
Q76M96;CCDC80;Coiled-coil domain-containing protein 80
P09467;FBP1;Fructose-1,6-bisphosphatase 1
P07711;CTSL;Procathepsin L
Q92823;NRCAM;Neuronal cell adhesion molecule
P04792;HSPB1;Heat shock protein beta-1
P07204;THBD;Thrombomodulin
Q16773;KYAT1;Kynurenine--oxoglutarate transaminase 1
Q92520;FAM3C;Protein FAM3C
P19971;TYMP;Thymidine phosphorylase
Q8NBP7;PCSK9;Proprotein convertase subtilisin/kexin type 9
Q16270;IGFBP7;Insulin-like growth factor-binding protein 7
P07911;UMOD;Uromodulin
P55058;PLTP;Phospholipid transfer protein
Q13361;MFAP5;Microfibrillar-associated protein 5
P01130;LDLR;Low-density lipoprotein receptor
P22748;CA4;Carbonic anhydrase 4
P54760;EPHB4;Ephrin type-B receptor 4
P33151;CDH5;Cadherin-5
P23141;CES1;Liver carboxylesterase 1
P15090;FABP4;Fatty acid-binding protein, adipocyte
P08833;IGFBP1;Insulin-like growth factor-binding protein 1
P13598;ICAM2;Intercellular adhesion molecule 2
Q76LX8;ADAMTS13;A disintegrin and metalloproteinase with thrombospondin motifs 13
Q01638;IL1RL1;Interleukin-1 receptor-like 1
Q99988;GDF15;Growth/differentiation factor 15
P04054;PLA2G1B;Phospholipase A2
Q9UM47;NOTCH3;Neurogenic locus notch homolog protein 3
Q14767;LTBP2;Latent-transforming growth factor beta-binding protein 2
Q03167;TGFBR3;Transforming growth factor beta receptor type 3
P04275;VWF;von Willebrand factor
Q5VY43;PEAR1;Platelet endothelial aggregation receptor 1
Q06141;REG3A;Regenerating islet-derived protein 3-alpha
P55808;XG;Glycoprotein Xg
P48960;ADGRE5;Adhesion G protein-coupled receptor E5
P04066;FUCA1;Tissue alpha-L-fucosidase
Q9UBP4;DKK3;Dickkopf-related protein 3
O14798;TNFRSF10C;Tumor necrosis factor receptor superfamily member 10C
P48304;REG1B;Lithostathine-1-beta
P01589;IL2RA;Interleukin-2 receptor subunit alpha
P09619;PDGFRB;Platelet-derived growth factor receptor beta
P08581;MET;Hepatocyte growth factor receptor
Q96AP7;ESAM;Endothelial cell-selective adhesion molecule
P07451;CA3;Carbonic anhydrase 3
Q9Y275;TNFSF13B;Tumor necrosis factor ligand superfamily member 13B
Q13740;ALCAM;CD166 antigen
P14555;PLA2G2A;Phospholipase A2, membrane associated
P08118;MSMB;Beta-microseminoprotein
P07858;CTSB;Cathepsin B
P32942;ICAM3;Intercellular adhesion molecule 3
Q07507;DPT;Dermatopontin
Q9NQ79;CRTAC1;Cartilage acidic protein 1
P15085;CPA1;Carboxypeptidase A1
Q86U17;SERPINA11;Serpin A11
Q9H2A7;CXCL16;C-X-C motif chemokine 16
O75326;SEMA7A;Semaphorin-7A
P17931;LGALS3;Galectin-3
Q9H1U4;MEGF9;Multiple epidermal growth factor-like domains protein 9
P31146;CORO1A;Coronin-1A
P17813;ENG;Endoglin
Q13822;ENPP2;Ectonucleotide pyrophosphatase/phosphodiesterase family member 2
P15086;CPB1;Carboxypeptidase B
P16581;SELE;E-selectin
P19021;PAM;Peptidyl-glycine alpha-amidating monooxygenase
P12111;COL6A3;Collagen alpha-3(VI) chain
Q15828;CST6;Cystatin-M
P04080;CSTB;Cystatin-B
P80370;DLK1;Protein delta homolog 1
P08236;GUSB;Beta-glucuronidase
Q14162;SCARF1;Scavenger receptor class F member 1
P09093;CELA3A;Chymotrypsin-like elastase family member 3A
P48745;CCN3;CCN family member 3
Q9Y4L1;HYOU1;Hypoxia up-regulated protein 1
P15907;ST6GAL1;Beta-galactoside alpha-2,6-sialyltransferase 1
P35590;TIE1;Tyrosine-protein kinase receptor Tie-1
P78324;SIRPA;Tyrosine-protein phosphatase non-receptor type substrate 1
P42574;CASP3;Caspase-3
Q13332;PTPRS;Receptor-type tyrosine-protein phosphatase S
Q12860;CNTN1;Contactin-1
Q8TDL5;BPIFB1;BPI fold-containing family B member 1
P20160;AZU1;Azurocidin
P10586;PTPRF;Receptor-type tyrosine-protein phosphatase F
P46531;NOTCH1;Neurogenic locus notch homolog protein 1
Q13231;CHIT1;Chitotriosidase-1
P04085;PDGFA;Platelet-derived growth factor subunit A
P13686;ACP5;Tartrate-resistant acid phosphatase type 5
P05107;ITGB2;Integrin beta-2
P25445;FAS;Tumor necrosis factor receptor superfamily member 6
O15031;PLXNB2;Plexin-B2
Q14393;GAS6;Growth arrest-specific protein 6
P00533;EGFR;Epidermal growth factor receptor
Q16769;QPCT;Glutaminyl-peptide cyclotransferase
O00584;RNASET2;Ribonuclease T2
P10451;SPP1;Osteopontin
O75023;LILRB5;Leukocyte immunoglobulin-like receptor subfamily B member 5
P18065;IGFBP2;Insulin-like growth factor-binding protein 2
P19957;PI3;Elafin
